sentence,words
Stern vomitó.,vomitó
"—Tienez zuedte, Nola.",Tienez
"Y cada vez que salgo en las noticias, añado diez dólares a mis tarifas horarias para mis próximos clientes.",añado
"Transmitiré toda la información al FBI, a la policía de los Estados vecinos y a la de fronteras.",Transmitiré
¿Intentas decirme que te molesta la presencia de la mujer que te dio la vida?,molesta
"Pues bien, figúrese que ese tipo, que siempre había salido ganador, ganó también esa apuesta: se convirtió en un auténtico hombre libre.",apuesta
"Harry estaba sentado en una silla de plástico delante de la habitación 8, bebiendo una lata de refresco y aprovechando el buen tiempo que hacía.",refresco
"Cuando llegó el momento de entrar en acción, empezó a sacudir el cuerpo de su mujer sin contemplaciones, para asegurarse de que estaba definitivamente neutralizada: constató con alegría que permanecía inerte.",sacudir
"Gahalowood me explicó que se había presentado de improviso en casa de Stern, para que no fuese una visita oficial, y que había sido el abogado de Stern, Bo Sylford, una primera figura de los tribunales de Boston, quien le había recibido sudando y vestido con ropa deportiva, diciéndole: «Deme cinco minutos, sargento.",Bo
"—Déjeme leerlo, le daré una opinión objetiva, se lo prometo.",objetiva
—¿Así que las escenas de maltrato de la madre que describe en su libro eran infligidas por la misma Nola?,infligidas
"Señora Hattaway, sé que usted no me conoce, que me presento por las buenas y que la obligo a ahondar en su memoria.",obligo
¿Es su novela la que le atormenta?,atormenta
"Porque también él, y al mismo nivel, estaba directamente implicado en ese caso.",nivel
Y rece.,rece
Estoy aquí para aprender.,aprender
Quería pasar todas sus veladas y toda su vida con ese hombre.,veladas
—¿Cómo supo usted que ese manuscrito era el de Harry Quebert?,supo
"En aquel instante, David Kellergan oyó crujir el suelo y se volvió.",crujir
"¿No sabrás algo de mecánica, por casualidad?",sabrás
"Un día bailaremos, se lo prometo.",bailaremos
"—Infórmele, es un consejo de amigo.",Infórmele
"Esperaban el autobús escolar con ellos, y se plantaban en la calle a la hora del regreso.",plantaban
Pero Caleb insistió mucho y Stern terminó cediendo.,cediendo
"Después devolvimos el cuerpo a la familia, y así terminó la historia.",devolvimos
"Hacía un día magnífico, los peces picaban, habían elegido un lugar muy tranquilo y no había nadie que les molestara.",picaban
Notó pinchazos en el vientre y un nudo en el estómago.,pinchazos
¿De las subvenciones?,subvenciones
Era mi única oportunidad de encontrar alguna pista que ligara a Stern con Nola.,ligara
"Pero aquello era diferente: durante las semanas que lo precedieron, habíamos sido todos alertados del secuestro que había tenido lugar en New Hampshire.",alertados
—Está ilocalizable.,ilocalizable
"En las calles, la gente había estado celebrando la victoria demócrata hasta bien entrada la madrugada, como si intentaran alejar los demonios del último doble mandato.",alejar
"A las diecisiete horas de mañana, vendrá usted a mi despacho y me anunciará oficialmente que cierra el caso Kellergan.",anunciará
"Mira, ayer mismo me crucé con la señora Emerson en el supermercado y, qué casualidad, su hija también está soltera.",Emerson
Recibí por FedEx una centralita telefónica que me permitía participar desde mi suite del Regent’s en todas las reuniones que tenían lugar en Manhattan.,Recibí
"Pero el lunes siguiente, cuando Nancy fue al 245 de Terrace Avenue para llevar a Nola a la playa, como los días anteriores, le respondieron que Nola estaba muy enferma y que debía guardar cama.",enferma
"—Nada, Harry, mi querido Harry, no se enfade.",enfade
Marchaba en dirección norte.,Marchaba
Terminamos el desayuno y nos fuimos a ver a David Kellergan.,Terminamos
Señaló con la mirada el papel pegado detrás del mostrador; Harry se levantó y la cogió para leerla en voz alta.,leerla
Las estadísticas de sus precedentes visitas al Clark’s indicaban que solamente tomaba café solo: se le debía servir café en cuanto llegase y nada más.,llegase
"Era un puertecito minúsculo, junto a un supermercado y un kiosco que vendía postales.",puertecito
"Pedaleando de noche, con las llaves del Clark’s y de la caja fuerte en su bolsillo, sintió brotar dentro de él la excitación de lo prohibido.",brotar
"Y además, si la policía hubiese sabido la verdad de sus crisis, no habrían efectuado todas esas búsquedas para encontrarla.",efectuado
Douglas respondió con ese sentido común tan campesino que caracteriza a los nativos del Medio Oeste.,campesino
"Ahora recuerdo que en su momento hice algunas llamadas, hablé con el director del instituto Felton.",hablé
Fueron dos años difícilmente soportables.,soportables
—¿Casos sin resolver?,Casos
Pegó la oreja y escuchó un trozo de diálogo.,diálogo
Para gobernar América hacen falta cojones.,gobernar
Debo decir que el agua había hecho bastantes destrozos.,destrozos
"—Entonces, si nos amamos, encontraremos una solución.",encontraremos
¿Puede tratarse de la misma persona que incendió Goose Cove?,incendió
Ese día me dijo que su madre la castigaba por cualquier motivo.,castigaba
Así evitamos que un juez acepte suspender la venta del libro por problemas de difamación.,evitamos
"Allí empieza ese bosque inmenso, dos millas más allá de Goose Cove.",allá
"Porque usted era el único que sabía lo de Nola y yo necesitaba compartir mi pena con alguien… Durante todos estos años esperé que estuviese viva, en alguna parte.",compartir
Saqué mi grabadora del bolsillo para apagarla.,apagarla
Me sentí tan aliviado de no ser comunista…,comunista
"Inmediatamente después de haber soltado el auricular, Jay lo volvió a coger para avisar a la policía.",auricular
"También al Symphony Hall, en Boston; decía que una ópera bien cantada podía hacerle llorar.",Symphony
—¿Sospechabas que había algo entre Harry y ella?,Sospechabas
"Según el informe policial, tras haber caminado una milla larga, los dos policías descubrieron rastros de sangre y cabellos rubios en una parte más bien despejada del bosque, cercana a la orilla del mar.",rastros
"Los periodistas habían tomado al asalto las escaleras del palacio de justicia de Concord, mientras en los canales de televisión, que cubrían el acontecimiento en directo, los comentaristas repetían las revelaciones publicadas en la prensa.",comentaristas
"—Es que me pica la camisa, Bichito.",pica
—David era un hombre tan bueno —acabó suspirando Lewis.,suspirando
Basta con abrir un diccionario y elegir una.,diccionario
—¿Podría llevármelo?,llevármelo
—¿Flores?,Flores
La razón nunca ha servido de nada y la pasión a menudo es destructiva.,destructiva
Entonces fui a refugiarme en el garaje para reparar esa maldita moto.,refugiarme
Ignora que es su historia exacta la que ha escrito Harry y que el final ya está sellado: Harry no quiere saber nada de ella.,sellado
Título original: La Vérité sur l’Affaire Harry Quebert,Título
"Mientras Harry y Stern comían, Nola volvía a su casa por la federal 1, azotada por el sol, transportando su máquina de escribir.",comían
"Por quinta vez en tres semanas, desde que me había mudado a mi piso en el Village, organizaba una fiesta en mi casa.",mudado
"—Oh, Luther, me ha pasado algo tan triste… ¡Llévame!",Llévame
Repetía: «¿Ya os he dicho que Marcus viene a visitarme la semana que viene?,Repetía
"Tenía razón, pero debía impedírselo.",impedírselo
"El 31 de octubre, el profesor Gideon Alkanor, uno de los grandes especialistas de psiquiatría infantil de la Costa Este y a quien Gahalowood conocía bien, confirmó lo que se había convertido en una evidencia: Nola sufría importantes trastornos psiquiátricos.",Gideon
"—Qué alegría oírle, Goldman —me dijo—.",oírle
Él la encontró allí y se deshizo de la abuela Cooper.,deshizo
Le regalaría su virginidad.,regalaría
"—Vamos a ver, ¿hay algo en este dossier que no le culpe?",culpe
—Ya no quiero que me grabe.,grabe
—¿Champán? —chilló.,Champán
Necesitaba oírselo decir.,oírselo
Diría que estamos en un esquema casi «clásico».,clásico
"A principios de 2008, aproximadamente año y medio después de haberme convertido, gracias a mi primera novela, en la nueva gran promesa de la literatura norteamericana, estaba inmerso en una terrible crisis de la página en blanco, síndrome que al parecer no es extraño entre los escritores que han conocido un éxito inmediato y clamoroso.",promesa
"A las cinco de la mañana, en las cercanías de la casa de Deborah Cooper, bajo una inmensa carpa desplegada a toda prisa, el jefe Pratt y el capitán Rodik daban consignas a los primeros grupos de policías y voluntarios.",desplegada
—Llama a su madre porque tiene la cabeza en otro sitio… Cada vez mejor.,Llama
Había empezado la cuenta atrás.,empezado
"—Me gustan mucho las mamadas, señor.",gustan
Corra hasta perder la cabeza: sentirá nacer dentro de usted la rabia de vencer.,Corra
"—¡Arranca, mi buen Luther! Tengo que ir al Sea Side Motel.",Arranca
Déjate de cuentos.,Déjate
"Acababan de proponerme una suma de dinero colosal por escribir un libro que volvería a colocarme sin duda en primera fila, llevaba una existencia con la que soñaban millones de americanos; sin embargo, me faltaba algo: una verdadera vida.",colocarme
"Seque sus lágrimas, se lo suplico.",Seque
"Marcus Goldman, el dios todopoderoso de Aurora; Marcus, que se presenta aquí y me dice: «Necesito saber esto, necesito saber aquello».",dios
El rostro del reverendo se puso de color púrpura.,púrpura
Los niños habían desaparecido de las calles y podía oírse el relajante canto de los grillos.,oírse
"Extractos de Los orígenes del mal, de Harry L. Quebert",Extractos
"Era Lansdane, el jefe de la policía estatal.",Lansdane
"Permaneció perplejo un instante, después respondió:",perplejo
La miró y sencillamente quedó prendado de ella.,prendado
Era como si el mundo le perteneciese.,perteneciese
—Entonces ¿por qué sigue aquí jodiendo la marrana?,jodiendo
"No le presté atención: primer o último aviso, ¿qué diferencia había?",presté
¡Yo no la maté! ¡Yo no maté a Nola!,maté
Así que me va a costar ayudarle.,costar
Incluso si me da tanta pena enviarle las cartas por correo cuando estamos tan cerca.,enviarle
—¿Y por qué nunca me ha hablado de ella?,hablado
—¿Conoces al gran Jack London?,Conoces
Él dio un bocado a una tostada y garabateó algunas líneas en su folio.,bocado
"Le di una buena tunda y, cuando estaba encogido, tumbado en el suelo, le agarré con fuerza, saqué el revólver, lo cargué y le hundí el cañón en los testículos.",encogido
"Hablando de eso,",Hablando
Llevaba su música en los oídos y sus únicas palabras —según lo que me contaron— fueron: «Pero ¿por qué la han desenterrado para volverla a enterrar?».,únicas
"Al escuchar esa frase, Pergal estuvo a punto de ahogarse.",ahogarse
"Era una bonita tienda con un colorido escaparate, entre un snack-bar y una ferretería.",colorido
"Estamos despidiéndonos poco a poco, Marcus.",despidiéndonos
"Compréndalo, señor decano, es culpa del presidente Clinton.",Compréndalo
Le dije que le invitara a comer el domingo.,invitara
Voy a avizad al zeñod Ztern de que haz llegado.,avizad
Diviértase.,Diviértase
"Fue entonces cuando me fijé en otro cuadro, mayor que el resto, colgado en una esquina; había un sillón colocado frente a él y era el único que estaba iluminado.",iluminado
"Intenté apagar la radio y poner ópera de nuevo para ver si mi mente dejaba de hacer cábalas, pero no había aria que no me hiciese pensar en Harry y, en cuanto pensaba en él, volvía a recordar a esa chiquilla que yacía bajo tierra desde hacía treinta años, al lado de esa casa donde yo consideraba haber pasado algunos de los años más hermosos de mi vida.",cábalas
—¿Su hijo es soldado?,soldado
"Pero a la hora del desayuno, su madre la había reñido con dureza:",reñido
"Tras mirarme fijamente durante un instante, añadió:",mirarme
"Volvió a Goose Cove el 23 de diciembre, al volante de un Chrysler Cordoba recién estrenado.",Cordoba
"No debe fatigarse, lo comprenderá.",fatigarse
"Él aguzó el oído, ya no había ningún ruido.",aguzó
"El sabroso asunto iba de boca en boca: en el campus nadie hablaba de otra cosa y nos preguntábamos, inocentes, qué iba a pasar con nuestro querido gobernante.",gobernante
"Vengo de hablar con Douglas Claren, su agente.",Claren
Dejó a Nola a unas manzanas de su casa y se besaron por última vez.,manzanas
Deborah Cooper acoge a Nola en su cocina y se apresura a ir al salón a llamar a la policía.,apresura
Tomé algunas fotos con el teléfono móvil y hui de inmediato de la habitación.,hui
Lanzó una carcajada soez.,soez
"Intenté pedirle perdón, le expliqué que no había sido mi intención herirle, que había encontrado la caja por casualidad.",herirle
Dice que has ido a esconderte a New Hampshire.,esconderte
Era tentador pensar que él mismo había prendido fuego a la casa.,tentador
—Anoche.,Anoche
Todo empezó cuando abrí un cajón en busca de un bolígrafo y me encontré con un cuaderno manuscrito y algunas hojas sueltas: originales de Harry.,originales
"Luther yacía en el suelo con las dos rodillas rotas, gimiendo.",gimiendo
"—Excelente pregunta: como eres tonto y no sabes nada de nada, tendrás que disimular.",Excelente
"Mis hipótesis se habían convertido en odiosas afirmaciones, mis suposiciones en hechos comprobados y mis reflexiones en infames juicios de valor.",odiosas
Tuvimos una discusión terrible.,discusión
"De todas formas, usted aprobará las pruebas finales.",aprobará
En esas semanas de estancia en su casa yo esperaba que él consiguiera transformarme de nuevo en escritor y me enseñara cómo salvar el obstáculo de la página en blanco.,consiguiera
"Insaciable, me puse a explorar su biblioteca en busca de otros cuadernos.",Insaciable
"Porque con algo así, incluso los que no tenían intención alguna de comprarlo no podrán resistir la curiosidad de saber cómo ha representado usted a la madre.",comprarlo
"Ya no tiene usted crédito aquí, señor Quebert.",crédito
"—Marcus Goldman, tu teléfono está sonando —me dijo.",sonando
Ya roza el ridículo.,roza
"Inmediatamente después de la salida del libro, partí para una maratoniana tournée promocional que me llevó por todos los rincones del país en un periodo de sólo dos semanas, todo motivado por el cambio de Presidente que se avecinaba.",maratoniana
Póngalo en el libro.,Póngalo
"Sería un best-seller garantizado, un éxito seguro y, como recompensa, una montaña de dinero.",recompensa
"Treinta años de matrimonio frustrado que saltan de un golpe, como si una gigantesca fosa séptica en ebullición explotara, salpicando todo a su alrededor.",saltan
"Un poco como los europeos pensaban serlo en la Edad Media, antes de coger un barco y descubrir que la mayoría de las civilizaciones más allá del océano estaban más desarrolladas que la suya, cosa que intentaron disimular a base de grandes masacres.",Edad
David Kellergan hizo un gesto de náusea.,náusea
Volvieron a Aurora la tarde del domingo 3 de agosto de 1975.,Volvieron
"Se había apresurado a terminar su libro, había incluso entregado el original a Harry Quebert: quería saber si valía la pena editarlo.",editarlo
Pero si esta mañana recibimos las bebidas.,recibimos
"Como no había nadie en la playa, no tuvieron que esconderse para ponerse los bañadores y Nancy se fijó en que Nola tenía hematomas en los senos.",bañadores
"Al disculpar a Caleb, Pratt se protegía.",disculpar
"Luther Caleb venía a buscarla a Aurora en coche, en un Mustang azul.",Mustang
Habían planeado esa escapada días antes.,planeado
"Como seguía avanzando sin mirar por dónde iba, caí en el agujero.",caí
"—Díganos, joven: ¿le gusta que se la chupen los chicos o las chicas?",Díganos
—Me lo tomaré como un cumplido.,tomaré
"Sentí hervir dentro de mí una especie de furor: yo también quería escribir una obra maestra, yo también quería escribir un libro que se convirtiese en una referencia.",referencia
"¡Ay, mamá, soy tan desgraciada!",desgraciada
Duró veintisiete segundos.,veintisiete
"Jenny, detrás de la barra, se sentía desolada:",desolada
—¿Sabrías decir lo que era?,Sabrías
Por mis importantes lesiones fui dispensado de hacer deporte hasta terminar el instituto.,lesiones
La habitación estaba pagada por adelantado.,pagada
—¿Andando?,Andando
"Y si alguien le busca las cosquillas, se presenta usted ante la Corte Suprema, que le da la razón y publica una sentencia con su nombre: Goldman contra el Estado de New Hampshire.",cosquillas
Arrancó el coche y se dirigió a Aurora.,Arrancó
"La prueba es que, si vendiese ahora ese cuadro, con todo el ruido que está haciendo este caso, sacaría sin duda alguna uno o dos millones de dólares.",vendiese
Quería decirte…,decirte
Y Nola… Nola estaba cantando en el porche.,cantando
"Le deseo una feliz reunión con Marisa, transmítale mi afecto.",transmítale
—Ojalá lo supiese.,Ojalá
Me siento horriblemente solo.,horriblemente
Empecé a balbucear torpemente:,balbucear
"Habían encontrado a Luther, le estaban pegando.",pegando
¿Me oye?,oye
"Insistí en que quería saber lo que había pasado, y terminó confesándome que la habían castigado porque se había fugado una semana entera.",Insistí
"Yo era un joven seguro de mí mismo, atractivo, atlético y culto, que residía además en la magnífica propiedad de Goose Cove.",atlético
"Era un hombre muy impresionante, por su carisma y su personalidad, un profesor fuera de serie, adulado por sus alumnos y respetado por sus compañeros.",carisma
"Pensándolo bien, ¿se lo habría hecho ya?",Pensándolo
¡El agua está helada! Me mete la cabeza dentro y aprieta.,aprieta
"Excitada por su descubrimiento, volvió a poner apresuradamente la hoja sobre el pupitre, temiendo ser sorprendida, y volvió de inmediato al salón.",Excitada
Estrujó la nota en su bolsillo e intentó permanecer en calma: tenía que proponerle que fueran juntos al baile.,Estrujó
"Creyó enloquecer: estaba segura de haberla guardado en la caja, y sin embargo ya no estaba.",enloquecer
Había incendiado su alma.,incendiado
Un beso para aliviar su pena.,beso
¿Se habría ido a bañar?,bañar
Digamos que sólo flirteamos un poco.,flirteamos
"Quiero decir, es una insensatez: tengo la impresión de que era usted el que obedecía a su empleado, cuando reclamaba pintar a Nola o cuando le abandonaba para pasarse el día en Aurora.",reclamaba
"—Pregunta usted demasiado, Marcus.",Pregunta
No haga lo que yo… No se deje devorar por su propia ambición.,devorar
—¡No me discutas! No tuviste tantos remilgos cuando te viste sin pareja para el baile y vino a invitarte.,discutas
—Iba a reunirse con Harry —respondí.,reunirse
Entonces empecé a esperarla a la salida del instituto.,esperarla
"Desde que empezaste a relacionarte con ese sujeto, en la universidad, cambiaste.",empezaste
"Sólo había un gimnasio en Montburry, dentro de un moderno edificio de vidrio en la arteria principal de la ciudad.",arteria
Pero no había pruebas suficientes en su contra.,pruebas
"Gahalowood había solicitado la ayuda de varios investigadores de la brigada criminal, pero no progresaban.",solicitado
Fue Erne Pinkas quien avisó a Harry al filo de las diez de la mañana.,avisó
¿O quedarme clavado en casa?,clavado
"Una semana más tarde, Luther se instalaba en Concord, en la dependencia para empleados anexa a la inmensa casa de la familia Stern.",dependencia
"Jenny, que trabajaba los días de diario, era la única que se saltaba abiertamente las recomendaciones de su madre: bromeaba con Harry, le hablaba sin cesar, interrumpía su trabajo y jamás traía todos los condimentos al mismo tiempo.",bromeaba
"—Oh, Marcus, y yo que pensaba que estaba usted fuera, divirtiéndose un poco.",divirtiéndose
Dije simplemente:,Dije
Pero creo que la gente murmuraría».,murmuraría
"Cuando llevaba recorridas apenas dos millas, llegó a un imponente control policial.",recorridas
—¿Y no le incomodaba tener en su casa un cuadro de una chica desaparecida?,incomodaba
Exclamé:,Exclamé
Esperaban que esa mañana llegaran refuerzos con perros adiestrados y guardias forestales que permitiesen ampliar la búsqueda y organizar relevos entre los equipos.,llegaran
Esa descripción sólo puede corresponder a mi hermano.,corresponder
"Escuchó atentamente el resto del boletín, y después los de otras emisoras para saber si se había producido un accidente de carretera en la región; pero no se mencionó nada parecido.",emisoras
"Me gusta esa casa, hice que la renovaran hace unos años.",renovaran
"Esperó, como siempre, a que el diner se vaciara un poco antes de aventurarse dentro.",vaciara
La casa había quedado casi destruida.,destruida
Bajaron rápidamente.,Bajaron
—¿Quién le ha contado esas sandeces?,sandeces
"¡Nunca terminamos aquella conversación! Porque después de eso aparecieron las revelaciones sobre Pratt, Harry ya no quiso que le grabase y continué mis entrevistas tomando notas en una libreta.",grabase
"—Le sacaré de aquí, Harry.",sacaré
Quizás aparca en el arcén y le mete la mano debajo de la falda.,aparca
"Voy a intentar informarme sobre esa historia, pero necesito más pruebas para plantearme en serio hacerle una visita a Stern.",informarme
Sweet home Alabama,Sweet
"Y si no tenía nada que reprocharse, no tendría nada que temer.",temer
El plato del día es bacalao con patatas salteadas…,bacalao
"Me senté al lado de Tamara, abrí un periódico al azar y fingí sumergirme en la lectura para escucharla mejor refunfuñar y quejarse de que la cocina estaba sucia, el café frío, las botellas de sirope de arce pegajosas, los azucareros vacíos; protestar porque las mesas tenían manchas de grasa, hacía demasiado calor dentro y las tostadas no estaban buenas, y decir que no pagaría un céntimo por lo que había pedido, que dos dólares por el café eran un robo, que nunca le habría traspasado el restaurante si hubiese sabido que iba a convertirlo en un tugurio de segunda clase, que ella tenía muchas ambiciones para ese establecimiento y que, de hecho, en su época, venía gente de todo el Estado para probar sus hamburguesas, consideradas las mejores de la región.",sumergirme
Te prometo que siempre alimentaré a las gaviotas.,alimentaré
"Solicitó pues la anulación del alquiler a partir del 1 de agosto y consiguió convencer al empleado, argumentando razones prácticas, de que le dejaran la casa hasta el lunes 4 de agosto, fecha en la que entregaría directamente las llaves en la sucursal de Boston, de camino a Nueva York.",anulación
"A pesar de todo, le saludó con solemnidad y le invitó inmediatamente a beber algo lleno de estilidad, como le había indicado su mujer.",solemnidad
"Tenía algunos párrafos marcados en rojo o subrayados; en ese instante me di cuenta de que Harry había seguido mi carrera con mucha atención, conservando cuidadosamente todo lo que se relacionaba conmigo.",subrayados
Llámele al móvil.,Llámele
"Nos internamos en el bosque: recorriendo una milla larga, encontramos restos de sangre, cabellos rubios y otros jirones de tela roja.",internamos
"—En el sobre hay una dirección, pero no tiene sello ni tampón —dijo—.",tampón
"Nola abrió la puerta, aterrorizada: ¿habrían llamado los demás a Jenny para quejarse de que se había pasado la mañana en el servicio?",aterrorizada
"Y mientras grababa lo que Harry me contaba del desastroso fin de semana del 5 y 6 de julio de 1975, comprendí que Los orígenes del mal trazaba con precisión su historia con Nola, mezclando relato y extractos de correspondencia auténticos.",grababa
"«Silencio, por favor —exclamó el jefe de policía—: El ganador del primer premio es… Atención… ¡El boleto 1385!».",boleto
Extracto del Washington Post,Post
"Al final, Tamara rogó al camarero que sirviera el bufé y propuso a los invitados que empezasen a comer.",empezasen
"Al marcharse su predecesor, me pidieron que velara por esta congregación.",velara
"—¿Y ande va usté así, si no le importa?",ande
"—¡Vamos a hacer fotos! ¡Vamos a hacer fotos, así no lo olvidaremos nunca!",olvidaremos
"Y si le acosaba y le atemorizaba, acabaría delatándose.",atemorizaba
Estábamos muy unidas desde su llegada a Aurora.,unidas
"Le propuse que llamase a una empresa de mudanzas para que se llevaran lo que quedaba intacto y lo almacenaran en un guardamuebles, le dije que hasta ahora había tenido suerte, porque no había habido ni lluvia ni robos, pero me respondió que no merecía la pena.",mudanzas
¡Hady eztadá allí! ¡Ve depiza! Vete lo máz depiza pozible.,eztadá
La portada de la página web de Schmid & Hanson estaba dedicada al libro.,web
Y entonces sale su libro y vuelvo a encontrarme con esa madre abusiva y perfectamente viva.,abusiva
"—Ya que ha visto las fotos, será mejor que se lo cuente… En 1975, al llegar a Aurora, me enamoré de esa chica, que sólo tenía quince años.",enamoré
Caminamos un buen rato.,Caminamos
Ya ves que te cuento todo.,ves
Un día lo entenderá.,entenderá
"Jared, sentado a mi lado, cerró incluso los ojos para no cruzarse con su mirada.",cruzarse
"A pesar del buen tiempo, el reverendo se había pasado toda la tarde encerrado en el garaje, reparando una vieja Harley-Davidson que esperaba poder conducir algún día.",reparando
"1998, año de la mamada presidencial, el de la infiltración del erotismo, para horror de todo Estados Unidos, en las más altas esferas del país.",infiltración
"Su madre, Tamara, había dado consignas a los empleados, había prohibido expresamente hablarle y distraerle, y alguna vez se había enfadado con ella en casa porque juzgaba su comportamiento inadecuado.",distraerle
"Un don nadie, un arrastrado, un fanfarrón, un perdonavidas.",fanfarrón
Ella se había alegrado mucho y extrañado a la vez de verle.,alegrado
"Llegué a dejar a Luther de guardia ante su casa, y fue él quien consiguió atraparlo cuando ya se disponía a abandonar Aurora.",atraparlo
"Stern soltó un taco, pero sacó su pluma del bolsillo de la chaqueta y se la entregó a Caleb, que escribió sobre la portada del manuscrito: Adiós, mi querida Nola.",taco
Pronto todo el mundo pedirá mi cabeza.,pedirá
Me gustaría que fuera un miembro de la parroquia.,miembro
"Si la señora Quinn se entera de que se me ha vuelto a caer una bandeja, me regañará.",regañará
O más bien hacerse la siguiente pregunta: ¿podía Luther Caleb estar conduciendo un Chevrolet Monte Carlo negro el 30 de agosto de 1975?,conduciendo
"Éramos algo racistas, éramos infelices, éramos violentos.",racistas
Era su arma reglamentaria.,reglamentaria
Los coches rodaban a una velocidad vertiginosa.,rodaban
¿Te duele la barriga?,barriga
"—¡Atrápala, joder! —gritó Pratt a Travis—.",Atrápala
—Me hiciste un cardenal…,hiciste
Veinte años de cárcel.,Veinte
—¡Pintaba mucho! —exclamó Sylla—.,Pintaba
Buscó en su bolsillo y sacó una pequeña foto que había pegado a un trozo de cartón para que no se arrugase.,arrugase
Me equivoqué como un novato.,novato
"Con un poco de suerte, ni siquiera necesitaremos llegar a juicio.",necesitaremos
En un momento dado tuve tanto miedo que llamaba sistemáticamente a la policía cuando encontraba una.,sistemáticamente
Es un libro que profundiza en la historia de uno de los hombres a quienes les debo todo.,profundiza
Fuera nevaba con fuerza.,nevaba
"A esas alturas habría vuelto con Nola, habría enviado el manuscrito por correo a los editores neoyorquinos y después habría viajado desde nuestro escondite en Canadá hasta Nueva York para ocuparme de la publicación del libro.",viajado
"Bajó a la playa, se quitó las sandalias y corrió por el agua, como corría el día que se conocieron.",quitó
"El sitio estaba normalmente poco frecuentado; en Burrows la gente no boxea y, aparte de mí, la única persona que venía con regularidad era Jared, al que había conseguido convencer para que echáramos unos rounds uno de cada dos lunes, porque necesitaba un compañero, preferentemente muy débil, para asegurarme de vencerle.",frecuentado
"¡Nelson, ven aquí!",Nelson
Pronto un aluvión de ideas brotó en mi cabeza.,aluvión
Cerró los ojos y extendió sus brazos como si estuviese crucificado.,crucificado
"Cuando no hubo más cartas que archivar, dejaron de reconocerme en los lugares públicos y mi cara desapareció de las grandes librerías de Broadway, comprendí que la gloria era efímera, una gorgona hambrienta que reemplazaba rápidamente a aquellos que no le daban de comer.",archivar
Necesitó treinta minutos para llegar a Aurora a pie.,Necesitó
"Sargento P. Gahalowood: Lo que no comprendo es que siendo usted policía conservara ese collar, que es una prueba contundente.",conservara
"Creo que la pequeña ciudad de Aurora esconde extraños secretos, que la gente dice mucho menos de lo que realmente sabe.",extraños
No hablaban más que del caso:,hablaban
Me miró fijamente durante un instante.,miró
"Y entonces fue cuando gritó: «¡No lo entiendes, Eli! ¡Se van a marchar! ¡Dentro de diez días se marcharán juntos y para siempre! ¡Para siempre! ¡Lo han decidido en la playa!",marcharán
"Al principio no podía creérmelo, pero las pruebas eran evidentes.",evidentes
Guardaba las cartas en la guantera de mi coche.,Guardaba
Condujo hasta una pequeña ciudad costera que conocía bien.,costera
Gemía.,Gemía
¡Háblale del cine!,Háblale
Seguramente habrá oído decir que Nola ha intentado suicidarse: no es más que una infeliz mentira.,mentira
"¿No habría que avisar a la policía, para que le examinase un médico y le curase?",examinase
Siempre tenía una palabra amable para todos los clientes.,amable
"Había pasado treinta años satisfaciendo mis ambiciones, me enfrentaba a los siguientes treinta intentando mantener esas ambiciones a flote y, al pensar bien en ellas, me pregunté en qué momento me dedicaría a vivir, sin más.",satisfaciendo
"Uno de ellos atrajo mi atención: reconocí inmediatamente el puente colgante que se encontraba justo a la entrada a Aurora, al borde del mar.",colgante
Se sirvió una taza de café sin ofrecernos y se sentó a la mesa.,ofrecernos
"En fin, en teoría, porque es una información que no puedo revelarle, evidentemente.",revelarle
La madre pegaba a su hija…,pegaba
"Los políticos del momento, la estrella del último reality o el grupo de rock de moda me habían robado mi parte de atención.",políticos
"Los rosales, entonces recién plantados, se habían convertido en macizos y el cerezo que estaba ante la entrada había sido reemplazado por otro igual tras su muerte, hacía diez años.",plantados
Era una elección difícil: con muy pocos invitados se podría pensar que era una garden-party fallida y demasiadas personas presentes podían dar a su exquisito convite campestre aspecto de verbena.,fallida
"Recibimos una llamada de la policía, que nos anunciaba que Luther había muerto en un accidente de coche.",Recibimos
"La lluvia se filtraba por el techo agujereado, formando charcos repartidos por el suelo.",agujereado
"Barnaski proponía vernos el lunes 7 de julio en Boston, ciudad que tenía la ventaja de estar a una hora de avión de Nueva York y dos de carretera desde Aurora, así que acepté.",proponía
"Sylla nos recibió en su cocina; a nuestra llegada, el café humeaba en dos tazas idénticas colocadas sobre la mesa y a su lado se apilaban los álbumes de fotos de la familia.",humeaba
"—Cálmese, señora.",Cálmese
"Pero cuando ella le contó lo que había presenciado, tampoco la creyó.",presenciado
"Era Tamara, en bata y con los rulos puestos.",rulos
"En la sala de reuniones de la policía de Aurora, el jefe Pratt y el capitán Rodik hacían balance.",hacían
"Tamara contemplaba con orgullo la disposición de su jardín, reluciente.",reluciente
"Recuerdo su mirada ardiente, su actitud, sus gestos… Había en ella un furor magnífico.",ardiente
"Había estado llorando toda la mañana y, a pesar de sus esfuerzos por secar sus ojos enrojecidos en el momento de llegar a la gran casa, Harry se había dado cuenta de inmediato de que algo no marchaba bien.",secar
—Ez acedca de Hady Quebedt…,acedca
Tenía la impresión de estar volviéndose loco.,volviéndose
"—¡Es del otro lado, tontaina!",tontaina
"Perdón, le pido perdón.",Perdón
"Y, si era necesario, encontrar un trabajo de vigilante nocturno para poder ahorrar.",ahorrar
"El dossier contenía fotografías, testimonios, informes, análisis y actas de interrogatorios.",actas
