word,count,example_sentence,translation
Ez,9,Vete… —{{c1::Ez}} acedca de Hady Quebedt… —¿Harry?,
arresto,9,"Lunes 7 de julio de 2008, Boston, Massachusetts Cuatro días después del {{c1::arresto}} del jefe Pratt, me cité con Roy Barnaski en un salón privado del hotel Park Plaza de Boston para firmar un contrato de edición de un millón de dólares por mi libro sobre el caso Harry Quebert.",
quieren,9,"Los estudios de cine ya están hablando de una película, todas las editoriales {{c1::quieren}} sacar un libro sobre Quebert.",
reuniones,9,"23.00 horas En la sala de {{c1::reuniones}} de la policía de Aurora, el jefe Pratt y el capitán Rodik hacían balance.",
clases,8,A los 19 años tomó {{c1::clases}} de actuación en la escuela de Drama en el Cours Florent en París.,
experiencia,8, Quién mató a Nola Kellergan es la gran incógnita a desvelar en este thriller incomparable cuya {{c1::experiencia}} de lectura escapa a cualquier tentativa de descripción.,
autor,8,"En 2008, Marcus Goldman, un joven escritor, visita a su mentor −Harry Quebert, {{c1::autor}} de una aclamada novela−, y descubre que éste tuvo una relación secreta con Nola Kellergan.",
Oiga,8,¿{{c1::Oiga}}?,
moda,8,"Yo tenía sólo treinta años y con esa novela, la segunda de mi carrera, me había convertido en el escritor más de {{c1::moda}} del país.",
tercera,8,"Abandoné la casa de mis padres en Montclair, New Jersey, para mudarme a un piso señorial en el Village, cambié mi Ford de {{c1::tercera}} mano por un flamante Range Rover con los cristales tintados, comencé a frecuentar restaurantes exclusivos y contraté los servicios de un agente literario que se encargaba de mi agenda y que venía a ver el béisbol en la pantalla gigante de mi nuevo salón.",
correspondencia,8,"Alquilé, a dos pasos de Central Park, un despacho en el que una secretaria medio enamorada de mí llamada Denise clasificaba mi {{c1::correspondencia}}, me preparaba café y archivaba mis documentos importantes.",
artículos,8,"Por las mañanas pasaba por el despacho para hojear los {{c1::artículos}} que me dedicaban y leer las decenas de cartas de admiradores que recibía a diario, y que Denise guardaba después en enormes archivadores.",
contento,8,"Al rato, {{c1::contento}} porque ya había trabajado suficiente, salía a deambular por las calles de Manhattan, donde los viandantes murmuraban a mi paso.",
buenas,8,Finalmente compré un nuevo ordenador con la esperanza de que incluyera {{c1::buenas}} ideas y excelentes tramas.,
suma,8,"Schmid & Hanson, la poderosa editorial neoyorquina que me había ofrecido una bonita {{c1::suma}} de dinero por publicar mi primera novela y que tantas esperanzas había depositado en mí, presionaba a mi agente, quien, a su vez, me acosaba.",
tantas,8,"Schmid & Hanson, la poderosa editorial neoyorquina que me había ofrecido una bonita suma de dinero por publicar mi primera novela y que {{c1::tantas}} esperanzas había depositado en mí, presionaba a mi agente, quien, a su vez, me acosaba.",
viento,8,"Me decía que el tiempo apremiaba, que era absolutamente necesario que presentara un nuevo manuscrito, y yo me dedicaba a tranquilizarle para tranquilizarme a mí mismo, asegurándole que mi segunda novela avanzaba {{c1::viento}} en popa y que no había de qué preocuparse.",
existir,8,"Por la noche, en mi cama, sin poder conciliar el sueño, pensaba que pronto, y antes de cumplir los treinta, Marcus Goldman dejaría de {{c1::existir}}.",
teoría,8,"Ese pensamiento llegó a aterrorizarme de un modo tal que decidí marcharme de vacaciones para refrescar mis ideas: me regalé un mes en un hotel de lujo de Miami, en {{c1::teoría}} para inspirarme, íntimamente convencido de que relajarme entre palmeras me permitiría volver a encontrar el pleno uso de mi genio creador.",
desgracia,8,La tercera fase de mi {{c1::desgracia}} comenzó a mi regreso a Nueva York.,
pedía,8,"Esa era la estrategia: aprovechar tu éxito, alimentar al público, darle lo que {{c1::pedía}}.",
estudiado,8,"¿Has {{c1::estudiado}} algo de economía, Marc?",
dará,8,"Y si no se lo das tú, se lo {{c1::dará}} el vecino, y tú acabarás en la basura.",
oía,8,"La {{c1::oía}} coger el bolso y correr hasta la puerta de entrada antes de lanzarse por las escaleras, como si su apremio fuese a cambiar algo mi situación.",
fácil,8,"Porque yo me había dado cuenta por fin de la gravedad del mal que me roía: escribir un libro partiendo de la nada me había parecido muy {{c1::fácil}} pero, ahora que estaba en la cima, ahora que debía asumir mi talento y repetir el agotador camino hacia el éxito que es la escritura de una buena novela, ya no me sentía capaz.",
especialmente,8,"Pero esa tentativa se saldó con un fracaso lamentable, en el que mi madre jugó un papel estelar, {{c1::especialmente}} por el hecho de haberse pasado esos dos días sentada a mi lado, escrutando la pantalla de mi ordenador portátil y repitiéndome: «Está muy bien, Markie».",
portátil,8,"Pero esa tentativa se saldó con un fracaso lamentable, en el que mi madre jugó un papel estelar, especialmente por el hecho de haberse pasado esos dos días sentada a mi lado, escrutando la pantalla de mi ordenador {{c1::portátil}} y repitiéndome: «Está muy bien, Markie».",
encuentran,8,"A eso se dedican los jóvenes de ahora: a cosas pasajeras, ¡y después se {{c1::encuentran}} con cincuenta años, calvos y sin familia!",
entera,8,¡La peluquería {{c1::entera}} sabía que habíais roto y yo ni siquiera me había enterado de que estuvieras saliendo con ella!,
enterado,8,¡La peluquería entera sabía que habíais roto y yo ni siquiera me había {{c1::enterado}} de que estuvieras saliendo con ella!,
crucé,8,"Mira, ayer mismo me {{c1::crucé}} con la señora Emerson en el supermercado y, qué casualidad, su hija también está soltera.",
Les,8,{{c1::Les}} dije que viniesen a tomar el té a las cuatro.,
tío,8,"Me dijo: «Vas a tener que escribir, {{c1::tío}}, ya no puedes escaquearte.",
tendrás,8,"Van a quedarse con toda tu pasta y entonces {{c1::tendrás}} que despedirte de tu maravillosa vida, de tu hermoso piso, de tus zapatos italianos, de tu cochazo.",
zapatos,8,"Van a quedarse con toda tu pasta y entonces tendrás que despedirte de tu maravillosa vida, de tu hermoso piso, de tus {{c1::zapatos}} italianos, de tu cochazo.",
directo,8,"Fui {{c1::directo}} al grano: —La cosa va mal, Harry.",
Casi,8,{{c1::Casi}} un año.,
risa,8,Estalló en una {{c1::risa}} cálida y reconfortante.,
americana,8,Partir en busca de la inspiración para un nuevo libro a la campiña {{c1::americana}} en compañía de mi viejo maestro: era exactamente lo que necesitaba.,
césped,8,"A su alrededor nada más que tranquilos barrios con casas de madera pintada y acogedores porches, techos de teja y jardines de {{c1::césped}} impecablemente cuidado.",
dejando,8,"En lo que se refería al país, bullía ya por la cercanía de las elecciones presidenciales: días antes, el Súper Martes (celebrado excepcionalmente en febrero en vez de marzo, {{c1::dejando}} claro que iba a ser un año fuera de lo común) había terminado con la victoria del senador McCain en el bando republicano, mientras que en el demócrata se libraba una cruenta batalla entre Hillary Clinton y Barack Obama.",
estudiantes,8,Hacía entonces tres lustros que brillaba con luz propia en el departamento de Literatura de esa modesta universidad de provincias de ambiente apacible y llena de {{c1::estudiantes}} amables y simpáticos.,
conocí,8,"Antes de eso, conocía al Gran Escritor Harry Quebert de nombre, como todo el mundo: en Burrows {{c1::conocí}} a Harry Tal Cual, el que iba a convertirse en uno de mis amigos más cercanos a pesar de nuestra diferencia de edad, y el que me enseñaría a convertirme en escritor.",
ganar,8,"Él mismo se había consagrado a mediados de los años setenta, cuando su segundo libro, Los orígenes del mal, había vendido quince millones de ejemplares, además de {{c1::ganar}} el National Literary Award y el National Book Award, los dos premios literarios más prestigiosos del país.",
orgullo,8,"Un hombre muy apreciado, un {{c1::orgullo}} para el país, entre lo mejor que habían producido los Estados Unidos.",
moral,8,"Cuando venía a traerme café u otra cosa que comer, miraba mi expresión desesperada e intentaba levantarme la {{c1::moral}}.",
ponga,8,"Una mañana me dijo por fin: —No {{c1::ponga}} usted esa cara, Marcus, que parece que se va a morir.",
mire,8,"Mejor {{c1::mire}} las cosas de frente: ha escrito un libro formidable, se ha hecho usted rico y famoso, y a su segundo libro le cuesta un poco salir de su cabeza.",
escribo,8,"Mi editor dice que si no {{c1::escribo}} un nuevo libro ahora, estoy acabado.",
dando,8,"Los pasamos {{c1::dando}} largos paseos al borde del océano, escuchando los grandes clásicos de la ópera, recorriendo las pistas de esquí de fondo, disfrutando de los actos culturales locales y organizando expediciones a los supermercados de la zona en busca de las pequeñas salchichas de cóctel que se vendían a beneficio de los veteranos del Ejército americano y que volvían loco a Harry, quien consideraba que ellas solas justificaban la intervención militar en Irak.",
locales,8,"Los pasamos dando largos paseos al borde del océano, escuchando los grandes clásicos de la ópera, recorriendo las pistas de esquí de fondo, disfrutando de los actos culturales {{c1::locales}} y organizando expediciones a los supermercados de la zona en busca de las pequeñas salchichas de cóctel que se vendían a beneficio de los veteranos del Ejército americano y que volvían loco a Harry, quien consideraba que ellas solas justificaban la intervención militar en Irak.",
ejemplar,8,El primer día me fijé en que Erne Pinkas había puesto un {{c1::ejemplar}} de mi libro bien a la vista en un expositor.,
senté,8,"De hecho lo hice, me {{c1::senté}} allí, con papel y bolígrafo, dos tardes consecutivas.",
bandeja,8,"Dejó la {{c1::bandeja}} y se dispuso a leerlos, pero al instante se dio cuenta de que eran páginas en blanco.",
creía,8,"¿Qué se {{c1::creía}}, Marcus?",
veinticinco,8,"Imparto Literatura desde hace {{c1::veinticinco}} años, veinticinco largos años, y usted es la persona más brillante que he conocido.",
brillante,8,"Imparto Literatura desde hace veinticinco años, veinticinco largos años, y usted es la persona más {{c1::brillante}} que he conocido.",
tristemente,8,Sonrió {{c1::tristemente}}: —Marcus: las obras maestras no se escriben.,
alguno,8,"Cogí la caja y la abrí, pero, para mi gran decepción, dentro no había manuscrito {{c1::alguno}}, sólo unas cuantas fotos y algunos artículos de periódico.",
quedaban,8,"En una de ellas se veía a Harry en una playa, el torso desnudo, bronceado y musculoso, estrechando contra él a la sonriente joven, que le besaba en la mejilla mientras sus gafas de sol {{c1::quedaban}} en equilibrio enganchadas a su larga melena rubia.",
plato,8,"En ese instante Harry irrumpió en el despacho con una bandeja con tazas de café y un {{c1::plato}} de pastas que soltó cuando, al abrir la puerta con el pie, me encontró arrodillado sobre su alfombra con el contenido de su caja secreta esparcido ante mí.",
Encontré,8,{{c1::Encontré}} esta caja por casualidad.,
debí,8,No {{c1::debí}} abrirla… Lo siento.,
oficialmente,8,"Me había quemado las alas, me encontraba {{c1::oficialmente}} en decadencia, era el más infeliz y el menos productivo de los escritores estrella de Nueva York.",
Sucedió,8,{{c1::Sucedió}} el jueves 12 de junio de 2008.,
intenté,8,"Lo {{c1::intenté}} varias veces, dejé varios mensajes en su contestador.",
Puse,8,{{c1::Puse}} inmediatamente las noticias.,
empresa,8,"Así fue como me enteré, al mismo tiempo que todo un sorprendido país, de lo que se había producido horas antes: a primera hora de la mañana, una {{c1::empresa}} de jardinería se había presentado en Goose Cove, a petición de Harry, para plantar macizos de hortensias en las cercanías de la casa.",
permitía,8,"Al parecer, un indicio encontrado junto al cuerpo {{c1::permitía}} pensar que muy probablemente se trataba de los restos de Nola Kellergan; un responsable de la policía había indicado ya que, si bien esa información debería ser confirmada, eso señalaría también a Harry Quebert como sospechoso del asesinato de una tal Deborah Cooper, la última persona que había visto con vida a Nola el 30 de agosto de 1975, que había sido encontrada muerta ese mismo día, tras haber llamado a la policía.",
error,8,"A las ocho de la tarde, cuando Douglas, inquieto, se presentó en mi casa para asegurarse de que había encajado el golpe, todavía estaba convencido de que se trataba de un {{c1::error}}.",
asesinatos,8,"Le dije: —No me lo explico, ¡cómo pueden acusarle de dos {{c1::asesinatos}} cuando ni siquiera están seguros de que se trata del cuerpo de esa Nola!",
adónde,8,¿Tienes que ir {{c1::adónde}}?,
Benjamin,8,"{{c1::Benjamin}} Roth, su abogado, estaba a su lado.",
permitió,8,"El milagro de la televisión {{c1::permitió}} a todos los Estados Unidos seguir en directo esa audiencia en la que Harry se declaró no culpable de los crímenes de los que se le acusaba, y en la que el juez ordenó su detención provisional en la prisión estatal de New Hampshire.",
juez,8,"El milagro de la televisión permitió a todos los Estados Unidos seguir en directo esa audiencia en la que Harry se declaró no culpable de los crímenes de los que se le acusaba, y en la que el {{c1::juez}} ordenó su detención provisional en la prisión estatal de New Hampshire.",
solución,8,"No era más que el principio de la tormenta: en aquel instante, yo tenía todavía la ingenua esperanza de una {{c1::solución}} rápida, pero una hora después de la audiencia recibí una llamada de Benjamin Roth.",
quedar,8,Esto debe {{c1::quedar}} entre nosotros.,
enterarse,8,Nadie debe {{c1::enterarse}}.,
espero,8,"Le pasaré el mensaje… —¡Dígale que debo hablar con él sin falta, y que {{c1::espero}} su llamada!",
efectivamente,8,En los siguientes tres días los análisis de ADN y las placas dentales confirmaron que los restos desenterrados en Goose Cove eran {{c1::efectivamente}} los de Nola Kellergan.,
tarta,8,Te haré unos buenos perritos y {{c1::tarta}} de manzana caliente con una bola de helado de vainilla para que la fundas encima.,
deberías,8,Papá dice que {{c1::deberías}} escribir un libro sobre Quebert.,
atravesar,8,Al {{c1::atravesar}} Connecticut tuve la mala idea de cambiar mi disco de ópera por las noticias de la radio.,
habido,8,"Fue así como descubrí que había {{c1::habido}} una filtración en la policía: los medios de comunicación habían sido informados del descubrimiento del manuscrito de Los orígenes del mal junto a los restos de Nola Kellergan, y que Harry había reconocido haberse inspirado en su relación para escribirlo.",
medios,8,"Fue así como descubrí que había habido una filtración en la policía: los {{c1::medios}} de comunicación habían sido informados del descubrimiento del manuscrito de Los orígenes del mal junto a los restos de Nola Kellergan, y que Harry había reconocido haberse inspirado en su relación para escribirlo.",
pegado,8,"En la caseta de una estación de servicio donde llené el depósito, pasado New Haven, me encontré al empleado {{c1::pegado}} a la pantalla del televisor, que repetía la información una y otra vez.",
ofreció,8,"Se echó a reír y me estrechó calurosamente la mano porque «no se veía muy a menudo a famosos por aquí», después me {{c1::ofreció}} un café para el camino.",
Uno,8,{{c1::Uno}} de ellos me reconoció y exclamó: «¡Es ese escritor!,
servía,8,"Allí estaba su Corvette rojo, delante del cobertizo que le {{c1::servía}} de garaje, como lo dejaba siempre.",
Asentí,8,{{c1::Asentí}} con la cabeza.,
Decidí,8,{{c1::Decidí}} entonces inspeccionar todas las habitaciones en busca del más mínimo elemento que pudiese ayudarme a comprender lo que había pasado allí en 1975.,
álbumes,8,Encontré algunos {{c1::álbumes}} de fotos que no había visto nunca o en los que no me había fijado.,
acto,8,"Para ello se preparó un solemne {{c1::acto}} en el vestíbulo principal del instituto, un sábado por la tarde, ante un grupo elegido de alumnos, antiguos alumnos y algunos periodistas locales.",
convertiría,8,"Sabía que unirme al equipo de danza me {{c1::convertiría}} en el hazmerreír de mis compañeros, así que elegí lacrosse.",
precedentes,8,"Me entrené con una motivación sin {{c1::precedentes}} y, al cabo de dos semanas, nuestro entrenador vio en mí la estrella que esperaba desde siempre.",
auditorio,8,"No obstante, durante la entrega de premios, en el {{c1::auditorio}} del instituto, me las arreglé para tomar la palabra y me inventé fines de semana completos de voluntariado con disminuidos psíquicos que habían estorbado considerablemente el avance de mi proyecto, antes de concluir, con los ojos bañados en lágrimas: «Poco me importan los primeros premios, si puedo aportar una llama de felicidad a mis amigos los niños trisómicos».",
premio,8,"La misma Sally, que tenía un hermano pequeño con una minusvalía profunda —algo que yo ignoraba—, rechazó su {{c1::premio}} y exigió que me lo diesen a mí.",
consciente,8,"Gracias a ese episodio vi mi nombre bajo las categorías de Deportes, Ciencias y Premio a la camaradería en el tablón de méritos, que yo había rebautizado en secreto como tablón demérito, plenamente {{c1::consciente}} de mi impostura.",
venta,8,"Una semana más tarde, batí el récord de {{c1::venta}} de billetes de tómbola comprándomelos a mí mismo con el dinero de dos veranos anteriores limpiando el césped de la piscina municipal.",
yendo,8,"Siempre había sentido debilidad por el boxeo, y siempre había sido un buen golpeador, pero lo que buscaba {{c1::yendo}} a entrenarme en secreto a un club de Brooklyn, a una hora de tren de mi casa, allí donde nadie me conocía, allí donde el Formidable no existía, era poder ser falible: iba a reivindicar el derecho a ser vencido por alguien más fuerte que yo, el derecho a desprestigiarme.",
obligado,8,"Durante mi tercer curso, por culpa de una restricción presupuestaria, el director se vio {{c1::obligado}} a desmantelar el equipo de lacrosse, que costaba demasiado caro al instituto en relación a lo que aportaba.",
aliviado,8,"Así que, {{c1::aliviado}} y sin la menor duda, me uní al equipo de marcha de Felton, en el seno del cual, y desde el primer entrenamiento, batí sin dificultad el récord de velocidad de mis plácidos compañeros de equipo, ante la mirada amorosa de algunas animadoras y del director.",
ridículo,8,"Yo no era más que fachada, simple contrachapado: iba a quedar en {{c1::ridículo}}, y en mi propio campo.",
echado,8,"Y cuando, una tarde, me encontré en mi habitación, {{c1::echado}} sobre la cama, con tres cartas de aceptación ante mí, una de Harvard, otra de Yale y la tercera de Burrows, una pequeña universidad desconocida de Massachusetts, no lo dudé: quería ir a Burrows.",
St,8,"Los Kellergan se habían instalado en Aurora en el otoño de 1969, después de que el padre fuese contratado como pastor por la parroquia de {{c1::St}}.",
James,8,"{{c1::James}}, la principal comunidad religiosa de Aurora, que tenía una influencia notable en aquella época.",
aliento,8,"Si se cansaba un poco, empezaba a jugar a los entrenadores: interrumpía su esfuerzo como para corregir mis gestos o mi postura, pero sé que sobre todo necesitaba recuperar el {{c1::aliento}}.",
amablemente,8,Jenny vino con el café y me saludó {{c1::amablemente}}.,
Justo,8,"{{c1::Justo}} debajo, una imagen de su entrada en la audiencia del palacio de justicia de Concord, esposado, decaído, el pelo revuelto, los rasgos hundidos, la expresión deshecha.",
taza,8,Erne Pinkas llegó poco después que yo y vino a sentarse a mi mesa con su {{c1::taza}} de café.,
crear,8,"Para no tener que responder, empecé a girar la cuchara en el interior de mi taza hasta {{c1::crear}} un remolino.",
coincidencia,8,"Extraña {{c1::coincidencia}}, ¿no?",
cartel,8,"Tras haber pasado el cementerio de Blossom Hill y un pequeño lago en forma de herradura cerca del río, se bordean las hileras de vallas y alambradas que no dejan dudas sobre la naturaleza del lugar; poco después, un {{c1::cartel}} oficial anuncia la prisión, y se perciben entonces los austeros edificios de ladrillo rojo protegidos por una gran muralla, y después la verja de la entrada principal.",
conseguir,8,"Se declarará no culpable, voy a {{c1::conseguir}} que absuelvan a Harry y espero poder reclamar millones en daños e intereses al Estado de New Hampshire.",
testigos,8,"De hecho, usted que conoce a todos los palurdos que pueblan Aurora, interrógueles un poco para saber desde ya las memeces que piensan contar al jurado si son citados como {{c1::testigos}} durante el proceso.",
plástico,8,"Estaba sentado ante una mesa de {{c1::plástico}}, vestido con uniforme de preso, con aspecto destrozado.",
Acababa,8,"{{c1::Acababa}} de ser detenido por la policía, tenía derecho a una llamada, y la única persona a la que sentí ganas de avisar fue a usted.",
leerlo,8,"Fue a finales de agosto, justo antes de que ella… Pensé que Nola lo habría cogido para {{c1::leerlo}}.",
cogía,8,"Los {{c1::cogía}} sin pedirme permiso… Pero aquella vez no pude preguntarle si lo había hecho, porque desapareció justo después.",
discretamente,8,"Se unió a nosotros en la mesa y, mientras se instalaba, Harry cogió {{c1::discretamente}} el cuaderno de notas que yo había colocado ante mí y escribió algunas palabras que no pude leer en ese momento.",
explicaciones,8,Roth empezó a dar largas {{c1::explicaciones}} sobre el desarrollo del caso y sobre los procedimientos.,
Efectivamente,8,"Harry nos miró fijamente y después dijo: —{{c1::Efectivamente}}, hay algo que debe usted saber.",
adolescente,8,"Estaba en la habitación 8, sentado en la cama, esperando, perfumado como un {{c1::adolescente}}, con un ramo de hortensias azules, su flor preferida.",
fusil,8,"Vi al jefe de policía, Gareth Pratt, con un {{c1::fusil}} en la mano: »“Jefe, acabo de escuchar la radio”, dije.",
rubio,8,"»En la radio repetían una y otra vez su descripción: Mujer joven, blanca, 5,2 pies de altura, cien libras, cabello largo {{c1::rubio}}, ojos verdes, vestida con un vestido rojo.",
guantes,8,"Dentro había un chándal, barras de proteínas, {{c1::guantes}} para pesas y la famosa caja de madera que había descubierto meses antes en el despacho de Harry.",
irme,8,Tengo que {{c1::irme}}.,
estupidez,8,Nadie entiende qué has ido a hacer a New Hampshire… Todo el mundo dice que estás cometiendo la {{c1::estupidez}} más grande de tu vida.,
enfermo,8,¿Se puede faltar a clase si se está {{c1::enfermo}}?».,
preguntado,8,"Jared, cómo no, había {{c1::preguntado}} si se podía beber cerveza en el recinto del campus, y después si podía tumbarse en el césped por la noche.",
Abrió,8,{{c1::Abrió}} los ojos como platos y vi sus órbitas brillar en la noche como dos lunas.,
personajes,8,"Los jueves, Jared y yo no nos perdíamos nunca la clase de uno de los {{c1::personajes}} centrales de la universidad: el escritor Harry Quebert.",
ustedes,8,"Y ya verán {{c1::ustedes}}, de aquí a unos años nadie recordará que el señor Clinton levantó nuestra desastrosa economía, gobernó de forma experta con una mayoría republicana en el Senado o hizo que Rabin y Arafat se estrecharan la mano.",
cerró,8,"Jared, sentado a mi lado, {{c1::cerró}} incluso los ojos para no cruzarse con su mirada.",
confesó,8,"Más tarde me {{c1::confesó}}: «Ese día, cuando le vi, Marcus, cuando vi a ese joven orgulloso, de cuerpo sólido, de pie ante su silla, me dije: Dios mío, he aquí un hombre de verdad».",
agarraba,8,Joven —me dijo con su voz excitada y nasal mientras se {{c1::agarraba}} a los brazos de su sillón—.,
Intentó,8,"{{c1::Intentó}} tranquilizarse y articuló lentamente: —Señor Goldman, ¿puede usted explicarme qué tipo de frase obscena puede contener todas esas palabras a la vez?",
propuse,8,"Le {{c1::propuse}} pues trabajar un poco el saco para empezar, y así pasamos la velada.",
sudor,8,"Solíamos charlar un momento después del entrenamiento, sentados uno al lado del otro en los bancos de madera del vestuario, mientras nos secábamos el {{c1::sudor}}.",
barco,8,"Un poco como los europeos pensaban serlo en la Edad Media, antes de coger un {{c1::barco}} y descubrir que la mayoría de las civilizaciones más allá del océano estaban más desarrolladas que la suya, cosa que intentaron disimular a base de grandes masacres.",
don,8,"Un {{c1::don}} nadie, un arrastrado, un fanfarrón, un perdonavidas.",
equivoco,8,¿Me {{c1::equivoco}}?,
cargo,8,"Y se fue, dejando la cuenta a mi {{c1::cargo}}.",
libres,8,"Así fue como, tras el episodio de la monumental paliza en Lowell, empezó realmente nuestra amistad y como Harry Quebert se convirtió en mi profesor de Literatura de día, mi compañero de boxeo los lunes por la tarde y mi amigo y maestro ciertas tardes {{c1::libres}} en las que me enseñaba a convertirme en escritor.",
jamás,8,"Dejé Nueva York a finales de mayo de 1975 y me instalé en New Hampshire, para no volver {{c1::jamás}}.",
extrañado,8,"Harry, al ver el inmenso ramo, me miró con aire {{c1::extrañado}} y me dijo: —¿Flores?",
recibir,8,"Debe perdonarme, no tengo costumbre de {{c1::recibir}} visitas.",
negocios,8,"Varias editoriales se ofrecieron para comprarme el manuscrito y, al final, durante el año 2005, firmé un contrato por una buena suma con la prestigiosa editorial neoyorquina Schmid & Hanson, cuyo poderoso director Roy Barnaski, curtido hombre de {{c1::negocios}}, me hizo firmar un compromiso global para cinco obras.",
miércoles,8,"Entró en mi vida el {{c1::miércoles}} 18 de junio de 2008, día en el que comenzó realmente mi investigación sobre los asesinatos de Nola Kellergan y Deborah Cooper.",
rodeado,8,"Goose Cove estaba {{c1::rodeado}} por la playa y la vegetación que daba a la costa y no había ninguna barrera, nada que impidiera el paso a la propiedad.",
hierba,8,"El agujero se abría sobre una lengua de {{c1::hierba}} que dominaba el océano, entre la terraza y el bosque.",
caminando,8,"Hace diez minutos que le observo, {{c1::caminando}} de puntillas para no ensuciar sus mocasines.",
poniendo,8,Vengo a verte porque he encontrado esto en Goose Cove —le dije {{c1::poniendo}} el trozo de papel sobre su mesa.,
pecho,8,"Quién hubiese podido imaginar que, veinte minutos más tarde, la matarían de un balazo en el {{c1::pecho}}.",
Sigue,8,"{{c1::Sigue}} viviendo en Aurora, en Mountain Drive.",
condujo,8,"Desde la casa, Travis me {{c1::condujo}} de nuevo por el bosque, pero esta vez en otra dirección completamente distinta, guiándome con paso firme a través de los árboles.",
huellas,8,Había {{c1::huellas}} de sangre desde la casa hasta aquí.,
Recuerda,8,"¿{{c1::Recuerda}}, hace dos años, cuando empecé a venir aquí y me obligaba a levantarme al amanecer?",
Pasé,8,"{{c1::Pasé}} el resto del día en la biblioteca municipal, consultando los archivos e intentando tirar del hilo del pasado.",
descubrió,8,"Parece ser que la noche en que se {{c1::descubrió}} que el cuerpo desenterrado era el de su pequeña, algunos periodistas fueron a asediar al viejo David Kellergan a su casa.",
acera,8,"Escuche esto, la {{c1::acera}} está llena de fans coreando su nombre.",
Marisa,8,"Buenos días, {{c1::Marisa}}.",
colgó,8,Me {{c1::colgó}} en las narices.,
haberla,8,"Gracias por {{c1::haberla}} recogido, Erne.",
barro,8,"Sí, eso es: me dio usted pena, su aspecto perdido y sus zapatos cubiertos de {{c1::barro}}.",
relacionado,8,"Si quiere mi opinión, todo está {{c1::relacionado}} con Nola.",
visitante,8,"Pensé que cualquiera podría toparse con ella: un {{c1::visitante}} entrometido, la asistenta… Pensé que era más prudente esconder mis recuerdos en otro lado.",
bolsa,8,Dejé sobre la mesa una {{c1::bolsa}} de plástico en la que se encontraba el contenido de mi paquete.,
hable,8,"Quiero que me {{c1::hable}} de Nola, de Aurora, de todo.",
habitantes,8,"Los {{c1::habitantes}} de la ciudad, a pesar de que no conocían mi nombre, juzgaban mi éxito por mi actitud y la casa que ocupaba.",
local,8,"Fue en 1975, en una minúscula ciudad de New Hampshire que buscaba una razón para existir, mucho antes de Internet y toda esa tecnología, y encontró en mí la estrella {{c1::local}} con la que siempre había soñado.",
ayudarle,8,"Harry pasó por detrás de la barra y se agachó para {{c1::ayudarle}} a recoger los trozos de cristal que flotaban en una mezcla de mostaza, mayonesa, ketchup, sirope de arce, mantequilla, azúcar y sal.",
recoger,8,"Harry pasó por detrás de la barra y se agachó para ayudarle a {{c1::recoger}} los trozos de cristal que flotaban en una mezcla de mostaza, mayonesa, ketchup, sirope de arce, mantequilla, azúcar y sal.",
permaneció,8,"Detrás de las puertas batientes, {{c1::permaneció}} un momento ensimismada y sonrió para sí misma: estaba enamorada de él.",
cesar,8,"Jenny, que trabajaba los días de diario, era la única que se saltaba abiertamente las recomendaciones de su madre: bromeaba con Harry, le hablaba sin {{c1::cesar}}, interrumpía su trabajo y jamás traía todos los condimentos al mismo tiempo.",
hundió,8,"Se sintió terriblemente incómodo y, tras elegir una fila al azar, se {{c1::hundió}} en una butaca para que no le vieran.",
atravesó,8,Se acurrucó junto a él y le {{c1::atravesó}} la mirada con sus nítidos ojos.,
patrullas,8,No necesito {{c1::patrullas}}.,
acercarse,8,"Cuando, poco antes de las doce, vio a Jenny {{c1::acercarse}} a él con la carta y café, cubrió su página con una hoja en blanco, como hacía cada vez que alguien se acercaba.",
sonreír,8,Se esforzó en {{c1::sonreír}} amablemente y darle un poco de conversación.,
secó,8,Sintió que su frente estaba llena de sudor y se la {{c1::secó}} con el dorso de la mano.,
humor,8,"De un tiempo a esta parte, mamá está de un {{c1::humor}} de perros.",
labios,8,"Esa mirada extraordinaria, esos ojos deslumbrantes de vida, todavía están ahí, delante de mí… Lo mismo que sus gestos, su forma de colocarse el pelo, de morderse los {{c1::labios}}.",
necesidad,8,Tenía tanta {{c1::necesidad}} de verla que no podía esperar al sábado siguiente.,
Tan,8,"{{c1::Tan}} pronto como aparecía, me sentía infinitamente más vivo, más fuerte.",
vernos,8,Creo… creo que deberíamos dejar de {{c1::vernos}}.,
Hemos,8,"{{c1::Hemos}} hablado mucho, estoy cansado.",
venían,8,Tus estancias aquí le {{c1::venían}} muy bien.,
piel,8,"Tan pronto como su hija le había informado de su cita, había ordenado que abandonara el Clark’s: estaban en plena hora punta del mediodía, el restaurante estaba lleno, pero no quería que su Jenny permaneciese ni un segundo más en medio del olor a grasa que podría incrustarse en su {{c1::piel}} y su pelo.",
equivocado,8,Así que su Jenny no se había {{c1::equivocado}}: Harry la cortejaba.,
Iba,8,"{{c1::Iba}} de puerta en puerta en calidad de organizadora del baile de verano, uno de los acontecimientos más importantes de la ciudad, que tenía lugar, ese año, el sábado 19 de julio.",
enviado,8,"En el momento en que sonó el timbre, Tamara había {{c1::enviado}} a su hija medio desnuda y a su marido al primer piso, antes de constatar con alivio que no era su célebre visitante el que esperaba ante su puerta, sino Amy Pratt, que había venido a vender boletos para la tómbola del día del baile.",
